listing_id,locality_name,zone,bhk,size,bathroom,floor_num,total_floors,size_per_bhk,bath_per_bhk,floor_ratio,is_tall_building,rent_per_sqft,locality_price_level,area_type,furnishing_status,tenant_preferred,point_of_contact,floor_band,rent,log_rent
LST104603,Dadar West,south,1,479.0,1.0,16.0,25.0,479.0,1.0,0.64,1,40.7098121085595,10.9104893467194,Carpet Area,Furnished,Family,Contact Agent,high (11+),19500.0,9.878169744551839
LST104505,Bhayandar East,north,2,819.0,3.0,5.0,12.0,409.5,1.5,0.4166666666666667,0,47.61904761904762,11.001068207286327,Carpet Area,Furnished,Bachelors/Family,Contact Agent,mid (4-10),39000.0,10.571316925111784
LST100435,Nerul sector-3,east,2,600.0,1.0,2.0,3.0,300.0,0.5,0.6666666666666666,0,26.666666666666668,10.395411027563357,Carpet Area,Unfurnished,Family,Contact Owner,low (1-3),16000.0,9.680344001221918
LST103870,Kandivali East,north,1,589.0,1.0,3.0,13.0,589.0,1.0,0.23076923076923078,0,117.99660441426145,10.97776616951422,Carpet Area,Furnished,Bachelors,Contact Owner,low (1-3),69500.0,11.149082031552883
LST103597,Mira Road,east,2,968.0,3.0,3.0,8.0,484.0,1.5,0.375,0,176.62429858991135,10.72183090798483,Carpet Area,Furnished,Bachelors/Family,Contact Owner,low (1-3),221000.0,12.30591798049989
LST104064,Wadala East,south,5,3600.0,4.0,10.0,37.0,720.0,0.8,0.2702702702702703,1,133.61111111111111,11.340171465098772,Carpet Area,Furnished,Family,Contact Owner,mid (4-10),481000.0,13.083622549087899
LST104017,Andheri West,west,2,587.0,2.0,11.0,13.0,293.5,1.0,0.8461538461538461,0,65.58773424190801,11.119863194438148,Super Area,Unfurnished,Bachelors,Contact Owner,high (11+),38500.0,10.558413520275876
LST101193,Vile Parle,west,1,264.0,1.0,14.0,58.0,264.0,1.0,0.2413793103448276,1,54.92424242424242,10.721176347403379,Super Area,Furnished,Bachelors/Family,Contact Owner,high (11+),14500.0,9.581903928408666
LST102104,Parel,south,1,449.0,1.0,4.0,22.0,449.0,1.0,0.18181818181818182,1,65.70155902004454,11.124955527722204,Super Area,Unfurnished,Family,Contact Owner,mid (4-10),29500.0,10.292145542327912
LST103676,Lokhandwala Complex,west,1,561.0,1.0,10.0,19.0,561.0,1.0,0.5263157894736842,0,41.889483065953655,10.982753765227347,Carpet Area,Semi-Furnished,Bachelors,Contact Agent,mid (4-10),23500.0,10.06475570013225
LST101845,Parel,south,2,667.0,1.0,4.0,10.0,333.5,0.5,0.4,0,81.70914542728636,11.124955527722204,Carpet Area,Furnished,Bachelors,Contact Agent,mid (4-10),54500.0,10.905955980651335
LST100229,Bhakti Park,south,2,710.0,2.0,15.0,18.0,355.0,1.0,0.8333333333333334,0,80.28169014084507,11.201128874867234,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,high (11+),57000.0,10.950806546816688
LST100358,Worli,south,1,340.0,1.0,13.0,23.0,340.0,1.0,0.5652173913043478,1,73.52941176470588,11.190878783089097,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,high (11+),25000.0,10.126631103850338
LST103078,Tata Nagar,east,1,573.0,1.0,9.0,17.0,573.0,1.0,0.5294117647058824,0,119.54624781849913,10.58378638560193,Super Area,Furnished,Bachelors/Family,Contact Agent,mid (4-10),68500.0,11.134589024250317
LST101267,Azad Nagar Colaba,south,2,522.0,1.0,5.0,16.0,261.0,0.5,0.3125,0,33.524904214559385,10.864839586410131,Carpet Area,Unfurnished,Family,Contact Agent,mid (4-10),17500.0,9.769956159911606
LST100552,Chandivali,east,3,1000.0,2.0,15.0,20.0,333.3333333333333,0.6666666666666666,0.75,1,70.0,11.053744569546843,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,high (11+),70000.0,11.156250521031495
LST101201,in Byculla,south,2,776.0,2.0,-1.0,21.0,388.0,1.0,-0.047619047619047616,1,73.45360824742268,10.541715756361267,Super Area,Furnished,Bachelors,Contact Owner,ground/basement,57000.0,10.950806546816688
LST101263,Wadala East,south,2,730.0,1.0,14.0,14.0,365.0,0.5,1.0,0,56.84931506849315,11.340171465098772,Super Area,Semi-Furnished,Family,Contact Agent,high (11+),41500.0,10.63344870621879
LST100066,Lokhandwala Complex,west,1,600.0,2.0,3.0,7.0,600.0,2.0,0.42857142857142855,0,66.66666666666667,10.982753765227347,Carpet Area,Furnished,Family,Contact Agent,low (1-3),40000.0,10.596634733096073
LST101495,Ghatla,east,1,445.0,1.0,24.0,55.0,445.0,1.0,0.43636363636363634,1,56.17977528089887,10.78209191357774,Carpet Area,Furnished,Family,Contact Agent,high (11+),25000.0,10.126631103850338
LST100059,Powai,east,3,1219.5,3.0,14.0,20.0,406.5,1.0,0.7,1,72.98072980729808,10.964246195304222,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,high (11+),89000.0,11.396391648714276
LST103230,Malabar Hill,south,2,774.0,1.0,2.0,3.0,387.0,0.5,0.6666666666666666,0,83.97932816537468,11.456706416111096,Carpet Area,Semi-Furnished,Family,Contact Owner,low (1-3),65000.0,11.082142548877775
LST102483,Mulund West,east,2,750.0,3.0,40.0,75.0,375.0,1.5,0.5333333333333333,1,46.0,10.780672329678938,Carpet Area,Furnished,Family,Contact Owner,high (11+),34500.0,10.448714603019452
LST103933,Amar Nagar,east,1,450.0,2.0,9.0,40.0,450.0,2.0,0.225,1,96.66666666666667,10.88234710200311,Carpet Area,Unfurnished,Bachelors,Contact Owner,mid (4-10),43500.0,10.680516217076775
LST100706,Bandra West,south,2,1000.0,2.0,10.0,13.0,500.0,1.0,0.7692307692307693,0,130.0,11.41516651287186,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,mid (4-10),130000.0,11.77528972943772
LST100411,Kamla Nagar,north,2,700.0,2.0,4.0,9.0,350.0,1.0,0.4444444444444444,0,92.85714285714286,11.291876462037967,Carpet Area,Furnished,Bachelors,Contact Agent,mid (4-10),65000.0,11.082142548877775
LST104579,Chakala MIDC,east,1,593.0,1.0,0.0,6.0,593.0,1.0,0.0,0,101.1804384485666,11.286640048037874,Carpet Area,Unfurnished,Family,Contact Agent,ground/basement,60000.0,11.002099841204238
LST104646,Borivali East,north,2,1309.0,2.0,5.0,12.0,654.5,1.0,0.4166666666666667,0,46.98242933537051,10.70221031569076,Super Area,Semi-Furnished,Bachelors/Family,Contact Agent,mid (4-10),61500.0,11.02679245379461
LST104638,Taloja Phase 2,east,1,338.0,1.0,11.0,25.0,338.0,1.0,0.44,1,60.650887573964496,10.657585103751387,Super Area,Unfurnished,Family,Contact Agent,high (11+),20500.0,9.9281801651265
LST102378,Bandra Kurla Complex,south,3,1219.5,3.0,7.0,9.0,406.5,1.0,0.7777777777777778,0,64.78064780647806,11.057189889236964,Super Area,Semi-Furnished,Bachelors/Family,Contact Agent,mid (4-10),79000.0,11.27720313144916
LST103562,in Mahim West,south,1,450.0,1.0,3.0,58.0,450.0,1.0,0.05172413793103448,1,105.55555555555556,10.894407971660517,Super Area,Semi-Furnished,Family,Contact Owner,low (1-3),47500.0,10.768484990022733
LST104387,Malad East,north,1,687.0,1.0,19.0,24.0,687.0,1.0,0.7916666666666666,1,55.31295487627365,10.851111423249836,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,high (11+),38000.0,10.545341438708522
LST100274,Bandra Kurla Complex,south,4,1900.0,3.0,5.0,11.0,475.0,0.75,0.45454545454545453,0,105.26315789473684,11.057189889236964,Carpet Area,Furnished,Bachelors/Family,Contact Agent,mid (4-10),200000.0,12.206072645530174
LST101896,Unknown,unknown,2,655.0,2.0,11.0,13.0,327.5,1.0,0.8461538461538461,0,69.46564885496183,10.80676083612417,Super Area,Semi-Furnished,Bachelors/Family,Contact Owner,high (11+),45500.0,10.725467604939041
LST104886,Deonar,east,3,1797.0,2.0,12.0,45.0,599.0,0.6666666666666666,0.26666666666666666,1,176.62429858991135,11.308102872558855,Carpet Area,Furnished,Family,Contact Agent,high (11+),376000.0,12.837344422372032
LST104233,parivar safalya chs,south,1,343.0,2.0,15.0,60.0,343.0,2.0,0.25,1,141.39941690962098,11.012675668752312,Carpet Area,Furnished,Bachelors,Contact Agent,high (11+),48500.0,10.789319076925574
LST104380,Charkop Sector 6,north,1,442.0,1.0,-1.0,23.0,442.0,1.0,-0.043478260869565216,1,109.72850678733032,10.744847097500482,Carpet Area,Semi-Furnished,Family,Contact Owner,ground/basement,48500.0,10.789319076925574
LST104301,Mahavir Nagar,north,1,455.0,1.0,12.0,16.0,455.0,1.0,0.75,0,38.46153846153846,11.06663105606805,Carpet Area,Furnished,Bachelors/Family,Contact Owner,high (11+),17500.0,9.769956159911606
LST101851,Kashimira,north,2,698.0,1.0,18.0,29.0,349.0,0.5,0.6206896551724138,1,60.17191977077364,10.616336208360206,Carpet Area,Furnished,Bachelors/Family,Contact Owner,high (11+),42000.0,10.645424897265505
LST102728,Dadar TT Circle,south,1,434.0,1.0,10.0,31.0,434.0,1.0,0.3225806451612903,1,35.714285714285715,11.183224830869467,Super Area,Semi-Furnished,Family,Contact Agent,mid (4-10),15500.0,9.648595302907339
LST104419,Kandivali West,north,2,639.0,1.0,15.0,60.0,319.5,0.5,0.25,1,50.86071987480438,10.909837202753758,Carpet Area,Semi-Furnished,Family,Contact Owner,high (11+),32500.0,10.388995368317829
LST104898,Antop Hill,south,1,493.0,1.0,5.0,11.0,493.0,1.0,0.45454545454545453,0,55.78093306288032,10.722053063610847,Super Area,Semi-Furnished,Bachelors,Contact Owner,mid (4-10),27500.0,10.221941283654663
LST100014,Bhandup West,east,2,518.0,2.0,5.0,12.0,259.0,1.0,0.4166666666666667,0,54.054054054054056,10.890470738535077,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Owner,mid (4-10),28000.0,10.239959789157341
LST102324,new panvel,east,2,893.0,2.0,27.0,47.0,446.5,1.0,0.574468085106383,1,53.75139977603583,10.769311733538297,Carpet Area,Semi-Furnished,Family,Contact Owner,high (11+),48000.0,10.778956289890028
LST100754,Bhakti Park,south,1,450.0,1.0,8.0,13.0,450.0,1.0,0.6153846153846154,0,88.88888888888889,11.201128874867234,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,mid (4-10),40000.0,10.596634733096073
LST101875,Parel,south,4,1989.0,5.0,7.0,13.0,497.25,1.25,0.5384615384615384,0,110.60834590246355,11.124955527722204,Carpet Area,Semi-Furnished,Family,Contact Owner,mid (4-10),220000.0,12.301382825334498
LST100557,Charkop,north,1,250.0,1.0,4.0,10.0,250.0,1.0,0.4,0,64.0,10.805184227806867,Carpet Area,Unfurnished,Bachelors/Family,Contact Owner,mid (4-10),16000.0,9.680344001221918
LST101988,Hiranandani Gardens,east,2,601.0,2.0,-1.0,8.0,300.5,1.0,-0.125,0,148.91846921797006,10.985276050143012,Carpet Area,Furnished,Family,Contact Agent,ground/basement,89500.0,11.401993904262946
LST104298,Andheri West,west,3,891.0,3.0,25.0,43.0,297.0,1.0,0.5813953488372093,1,103.81593714927048,11.119863194438148,Super Area,Semi-Furnished,Bachelors,Contact Owner,high (11+),92500.0,11.434963923500517
LST101733,Grant Road,south,1,534.0,2.0,27.0,58.0,534.0,2.0,0.46551724137931033,1,37.453183520599254,10.92925310676096,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,high (11+),20000.0,9.903487552536127
LST100450,Worli,south,1,325.0,1.0,17.0,24.0,325.0,1.0,0.7083333333333334,1,76.92307692307692,11.190878783089097,Carpet Area,Furnished,Bachelors/Family,Contact Agent,high (11+),25000.0,10.126631103850338
LST102265,Wadala,south,1,524.0,1.0,3.0,8.0,524.0,1.0,0.375,0,64.8854961832061,10.99887179895927,Carpet Area,Semi-Furnished,Bachelors,Contact Owner,low (1-3),34000.0,10.4341158035983
LST100646,Bandra Kurla Complex,south,3,1400.0,3.0,11.0,13.0,466.6666666666667,1.0,0.8461538461538461,0,100.0,11.057189889236964,Carpet Area,Semi-Furnished,Family,Contact Agent,high (11+),140000.0,11.84939770159144
LST104016,Chembur East,south,3,1597.0,3.0,-1.0,16.0,532.3333333333334,1.0,-0.0625,0,38.19661865998748,11.048743655120719,Super Area,Semi-Furnished,Bachelors/Family,Contact Owner,ground/basement,61000.0,11.018629143155449
LST104710,Mulund East,east,2,560.0,2.0,17.0,36.0,280.0,1.0,0.4722222222222222,1,65.17857142857143,10.767055784624215,Super Area,Semi-Furnished,Family,Contact Owner,high (11+),36500.0,10.505067539570582
LST103079,Charkop,north,3,1532.0,3.0,60.0,71.0,510.6666666666667,1.0,0.8450704225352113,1,113.25065274151436,10.805184227806867,Carpet Area,Semi-Furnished,Family,Contact Agent,high (11+),173500.0,12.063932878369052
LST104499,Marol,east,2,762.0,3.0,10.0,21.0,381.0,1.5,0.47619047619047616,1,37.40157480314961,10.892335347471157,Super Area,Furnished,Bachelors/Family,Contact Agent,mid (4-10),28500.0,10.257659366256743
LST101492,Kandivali East,north,3,857.0,3.0,65.0,78.0,285.6666666666667,1.0,0.8333333333333334,1,72.92882147024504,10.97776616951422,Super Area,Unfurnished,Bachelors,Contact Agent,high (11+),62500.0,11.042921835724492
LST100022,Unknown,unknown,1,270.0,1.0,14.0,23.0,270.0,1.0,0.6086956521739131,1,81.48148148148148,10.80676083612417,Super Area,Unfurnished,Bachelors/Family,Contact Owner,high (11+),22000.0,9.998797732340453
LST101579,Prabhadevi,south,2,677.0,3.0,7.0,14.0,338.5,1.5,0.5,0,62.0384047267356,11.084612109046844,Carpet Area,Furnished,Family,Contact Agent,mid (4-10),42000.0,10.645424897265505
LST101097,Andheri West,west,2,944.0,2.0,13.0,43.0,472.0,1.0,0.3023255813953488,1,79.44915254237289,11.119863194438148,Carpet Area,Unfurnished,Bachelors,Contact Owner,high (11+),75000.0,11.225243392518447
LST101031,Wadala,south,2,688.0,2.0,1.0,6.0,344.0,1.0,0.16666666666666666,0,143.16860465116278,10.99887179895927,Super Area,Semi-Furnished,Bachelors/Family,Contact Agent,low (1-3),98500.0,11.49781182716018
LST100260,Govandi Station Road,east,1,400.0,1.0,1.0,7.0,400.0,1.0,0.14285714285714285,0,67.5,10.375972039898787,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,low (1-3),27000.0,10.203592144986466
LST104608,Worli,south,2,793.0,2.0,34.0,42.0,396.5,1.0,0.8095238095238095,1,80.07566204287515,11.190878783089097,Super Area,Furnished,Family,Contact Agent,high (11+),63500.0,11.058795184880783
LST104704,Worli,south,2,530.0,2.0,17.0,44.0,265.0,1.0,0.38636363636363635,1,133.0188679245283,11.190878783089097,Super Area,Unfurnished,Family,Contact Agent,high (11+),70500.0,11.16336798880036
LST101641,Malad West,north,1,339.0,2.0,2.0,4.0,339.0,2.0,0.5,0,54.57227138643068,10.789827053245961,Carpet Area,Semi-Furnished,Family,Contact Owner,low (1-3),18500.0,9.825526011066415
LST104425,Andheri East,west,1,493.0,1.0,3.0,15.0,493.0,1.0,0.2,0,63.894523326572006,10.95227718741345,Carpet Area,Furnished,Bachelors/Family,Contact Agent,low (1-3),31500.0,10.357742824813725
LST100222,Jogeshwari West,west,3,1286.0,5.0,7.0,21.0,428.6666666666667,1.6666666666666667,0.3333333333333333,1,77.76049766718506,10.984652688437288,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,mid (4-10),100000.0,11.512925464970229
LST101558,Vikhroli West,east,6,2819.0,7.0,11.0,31.0,469.8333333333333,1.1666666666666667,0.3548387096774194,1,163.71053565094005,11.18715785139664,Carpet Area,Unfurnished,Family,Contact Agent,high (11+),461500.0,13.042237332925044
LST100129,Mahavir Nagar,north,3,750.0,2.0,6.0,16.0,250.0,0.6666666666666666,0.375,0,57.333333333333336,11.06663105606805,Carpet Area,Unfurnished,Family,Contact Agent,mid (4-10),43000.0,10.668955394675699
LST102316,Marine Lines,south,1,450.0,2.0,10.0,20.0,450.0,2.0,0.5,1,46.666666666666664,10.781907554276028,Super Area,Unfurnished,Bachelors,Contact Agent,mid (4-10),21000.0,9.95227771670556
LST101102,Lokhandwala Twp,north,4,3468.0,4.0,16.0,23.0,867.0,1.0,0.6956521739130435,1,124.5674740484429,11.001962497923795,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,high (11+),432000.0,12.976180867226248
LST104408,Seven Bungalows,west,1,232.0,1.0,3.0,9.0,232.0,1.0,0.3333333333333333,0,71.12068965517241,11.013432679875008,Super Area,Semi-Furnished,Bachelors/Family,Contact Agent,low (1-3),16500.0,9.711115659888671
LST104985,Dadar East,south,2,788.0,1.0,12.0,16.0,394.0,0.5,0.75,0,55.203045685279186,10.933200243737723,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Owner,high (11+),43500.0,10.680516217076775
LST102424,JB Nagar,east,1,507.0,1.0,9.0,17.0,507.0,1.0,0.5294117647058824,0,61.1439842209073,10.960516268818662,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,mid (4-10),31000.0,10.341742483467284
LST103493,Kandivali East,north,2,837.0,3.0,3.0,10.0,418.5,1.5,0.3,0,53.16606929510155,10.97776616951422,Super Area,Unfurnished,Bachelors,Contact Owner,low (1-3),44500.0,10.703244468154331
LST100578,Hiranandani Gardens,east,2,750.0,2.0,11.0,27.0,375.0,1.0,0.4074074074074074,1,113.33333333333333,10.985276050143012,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,high (11+),85000.0,11.350406535472453
LST102225,Gokuldham,north,3,1511.0,2.0,6.0,10.0,503.6666666666667,0.6666666666666666,0.6,0,105.22832561217737,10.854843817874576,Super Area,Semi-Furnished,Bachelors/Family,Contact Owner,mid (4-10),159000.0,11.976659481202368
LST103169,Goregaon East,north,3,1215.0,3.0,17.0,25.0,405.0,1.0,0.68,1,176.62429858991135,11.005324871947899,Super Area,Semi-Furnished,Bachelors,Contact Owner,high (11+),224000.0,12.319401330837177
LST101647,Thane-Kalyan-Dombivli,east,1,284.0,1.0,10.0,19.0,284.0,1.0,0.5263157894736842,0,65.14084507042253,10.074721273190999,Super Area,Furnished,Family,Contact Agent,mid (4-10),18500.0,9.825526011066415
LST100055,Worli,south,4,1600.0,4.0,12.0,21.0,400.0,1.0,0.5714285714285714,1,176.62429858991135,11.190878783089097,Carpet Area,Semi-Furnished,Bachelors/Family,Contact Agent,high (11+),300000.0,12.611537753638338
LST102843,Bhakti Park,south,2,767.0,3.0,19.0,22.0,383.5,1.5,0.8636363636363636,1,71.05606258148632,11.201128874867234,Super Area,Unfurnished,Bachelors,Contact Agent,high (11+),54500.0,10.905955980651335
LST103753,Chakala,east,1,497.0,2.0,21.0,21.0,497.0,2.0,1.0,1,48.2897384305835,11.211440849809541,Carpet Area,Furnished,Bachelors/Family,Contact Agent,high (11+),24000.0,10.085809109330082
LST104674,Breach Candy,south,2,1429.0,3.0,12.0,27.0,714.5,1.5,0.4444444444444444,1,72.778166550035,11.311555064067228,Super Area,Semi-Furnished,Bachelors,Contact Owner,high (11+),104000.0,11.55214617812351
LST101595,Kanjurmarg East,east,3,1219.5,3.0,15.0,19.0,406.5,1.0,0.7894736842105263,0,74.21074210742107,10.486558144680133,Carpet Area,Furnished,Bachelors/Family,Contact Owner,high (11+),90500.0,11.413105129688017
LST100261,Irla,west,2,700.0,2.0,3.0,4.0,350.0,1.0,0.75,0,85.71428571428571,11.323614490779656,Carpet Area,Furnished,Bachelors,Contact Agent,low (1-3),60000.0,11.002099841204238
LST103087,Bandra West,south,3,1036.0,3.0,5.0,12.0,345.3333333333333,1.0,0.4166666666666667,0,50.19305019305019,11.41516651287186,Super Area,Unfurnished,Bachelors,Contact Agent,mid (4-10),52000.0,10.858998997563564
LST103592,Kandivali East,north,1,556.0,1.0,21.0,21.0,556.0,1.0,1.0,1,71.94244604316546,10.97776616951422,Super Area,Unfurnished,Family,Contact Agent,high (11+),40000.0,10.596634733096073
LST100436,Lokhandwala Complex,west,2,1100.0,4.0,14.0,22.0,550.0,2.0,0.6363636363636364,1,45.45454545454545,10.982753765227347,Super Area,Furnished,Bachelors/Family,Contact Agent,high (11+),50000.0,10.819778284410283
LST104407,Goregaon East,north,2,1237.0,1.0,9.0,10.0,618.5,0.5,0.9,0,24.65642683912692,11.005324871947899,Carpet Area,Furnished,Bachelors/Family,Contact Owner,mid (4-10),30500.0,10.325481962595504
LST102849,Seven Bungalows,west,3,1262.0,2.0,10.0,27.0,420.6666666666667,0.6666666666666666,0.37037037037037035,1,69.73058637083993,11.013432679875008,Super Area,Semi-Furnished,Family,Contact Agent,mid (4-10),88000.0,11.385092093460344
LST104705,Andheri East,west,2,715.0,1.0,53.0,60.0,357.5,0.5,0.8833333333333333,1,69.93006993006993,10.95227718741345,Carpet Area,Semi-Furnished,Bachelors,Contact Agent,high (11+),50000.0,10.819778284410283
LST100088,Breach Candy,south,2,650.0,2.0,2.0,6.0,325.0,1.0,0.3333333333333333,0,130.76923076923077,11.311555064067228,Carpet Area,Semi-Furnished,Bachelors,Contact Agent,low (1-3),85000.0,11.350406535472453
LST103297,Nalasopara West,north,3,1578.0,3.0,5.0,6.0,526.0,1.0,0.8333333333333334,0,111.85044359949303,10.753595869881174,Carpet Area,Unfurnished,Family,Contact Agent,mid (4-10),176500.0,12.081076155355488
LST101588,Hiranandani Gardens,east,2,592.0,1.0,16.0,34.0,296.0,0.5,0.47058823529411764,1,93.75,10.985276050143012,Carpet Area,Unfurnished,Bachelors,Contact Agent,high (11+),55500.0,10.924138299734526
LST102177,Unknown,unknown,3,971.0,3.0,20.0,23.0,323.6666666666667,1.0,0.8695652173913043,1,60.24716786817714,10.80676083612417,Carpet Area,Unfurnished,Bachelors,Contact Agent,high (11+),58500.0,10.976782033219948
LST101921,Mira Road,east,2,872.0,1.0,9.0,19.0,436.0,0.5,0.47368421052631576,0,122.13302752293578,10.72183090798483,Super Area,Semi-Furnished,Family,Contact Agent,mid (4-10),106500.0,11.575900264131617
LST104243,Bandra West,south,2,894.0,2.0,16.0,36.0,447.0,1.0,0.4444444444444444,1,160.51454138702462,11.41516651287186,Carpet Area,Unfurnished,Bachelors/Family,Contact Agent,high (11+),143500.0,11.874090314181814
LST103837,Dadar East,south,3,1086.0,3.0,7.0,7.0,362.0,1.0,1.0,0,109.57642725598527,10.933200243737723,Carpet Area,Furnished,Bachelors,Contact Agent,mid (4-10),119000.0,11.686878772093667
LST103463,Gokuldham,north,4,1371.0,3.0,5.0,23.0,342.75,0.75,0.21739130434782608,1,176.62429858991135,10.854843817874576,Super Area,Unfurnished,Bachelors/Family,Contact Owner,mid (4-10),321000.0,12.679196402112153
LST102243,Film City Road,east,4,1678.0,4.0,15.0,60.0,419.5,1.0,0.25,1,127.83075089392133,11.23927780214417,Carpet Area,Semi-Furnished,Family,Contact Owner,high (11+),214500.0,12.27606501735021
LST102621,GREEN PARK,west,2,606.0,1.0,14.0,17.0,303.0,0.5,0.8235294117647058,0,29.702970297029704,11.32882710843981,Super Area,Furnished,Family,Contact Agent,high (11+),18000.0,9.798127036878302
LST102450,Mahim West,south,3,1479.0,3.0,8.0,28.0,493.0,1.0,0.2857142857142857,1,105.81473968897905,11.018337759329258,Carpet Area,Unfurnished,Bachelors,Contact Owner,mid (4-10),156500.0,11.960811288962345
LST103890,Goregaon East,north,3,1047.0,4.0,18.0,30.0,349.0,1.3333333333333333,0.6,1,84.04966571155683,11.005324871947899,Super Area,Unfurnished,Bachelors,Contact Owner,high (11+),88000.0,11.385092093460344
