locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof,address
Lokhandwala Twp,Mumbai,north,operational,Poisar,yes,Mindspace Malad,4.19,red,1.69,yes,yes,True,Poisar,1.69,3-6km,1.0,Kandivali,2.85,12.13,3.0,15.0,7.0,19.1982642,72.8781938,29.2,R/S Ward,Maharashtra,1,6/30/2022,6/30/2022,high,Anita Nagar,place/locality,Anita,2022,4/13/2022,"Anita, Lokhandwala Twp"
anjali,Mumbai,east,none,Ghatkopar L1,yes,Vashi Business District,1.73,blue,10.65,no,no,True,CBD Belapur,6.03,0-3km,4.0,Sanpada,0.34,15.37,23.0,18.0,7.0,19.0645682,73.0066333,22.8,Sanpada,Maharashtra,1,7/9/2022,7/9/2022,medium,Anjali Apartments,landuse/residential,anjali,2022,4/13/2022,anjali
Antop Hill,Mumbai,south,none,Ghatkopar L1,yes,Lower Parel Business District,4.65,blue,8.12,no,no,True,Dadar,3.08,3-6km,4.0,Acharya Atre Nagar,0.5,7.39,43.0,34.0,4.0,19.0239461,72.8685474,10.09,F/N Ward,Maharashtra,1,5/23/2022,5/23/2022,high,Antop Hill,place/suburb,Antop Hill,2022,4/13/2022,Antop Hill
Wadala,Mumbai,south,none,Ghatkopar L1,yes,Bandra Kurla Complex,4.6,blue,7.46,no,no,True,Dharavi,3.49,3-6km,4.0,Bhakti Park,0.29,7.16,16.0,16.0,0.0,19.0269192,72.8759337,10.69,F/N Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Wadala,place/suburb,Wadala,2022,4/13/2022,"Antop Hill, Wadala"
Anushakti Nagar,Mumbai,east,under_construction,Ghatkopar L1,no,Bandra Kurla Complex,6.67,blue,5.44,yes,no,False,Deonar,0.76,6km+,0.0,Mankhurd,1.39,8.39,26.0,16.0,15.0,19.0395778,72.9221562,14.45,M/E Ward,Maharashtra,1,4/29/2022,4/29/2022,high,Anushakti Nagar,place/suburb,Anushakti Nagar,2022,4/13/2022,Anushakti Nagar
Prabhadevi,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.35,blue,11.48,yes,no,False,Siddhivinayak Temple,0.33,0-3km,4.0,Prabhadevi,1.17,9.14,47.0,48.0,5.0,19.0148811,72.8279556,8.5,G/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Prabhadevi,place/suburb,Prabhadevi,2022,4/13/2022,"Aristo Pearl Residency, Prabhadevi"
Lower Parel,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,0.0,blue,12.39,yes,no,False,Worli,1.32,0-3km,3.0,Prabhadevi,0.77,10.28,50.0,55.0,8.0,19.0029881,72.8303219,7.16,G/S Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Lower Parel,place/suburb,Lower Parel,2022,4/13/2022,"Ashford Casa Grande, Lower Parel"
Parel,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.42,blue,11.1,yes,no,False,Siddhivinayak Temple,1.47,0-3km,3.0,Parel,0.52,9.34,64.0,73.0,5.0,19.0084268,72.842505,7.78,F/S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Parel,place/suburb,Parel,2022,4/13/2022,"Ashok tower, Parel"
Ashok Van,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.95,blue,10.76,yes,no,False,Siddhivinayak Temple,0.52,0-3km,4.0,Dadar,1.21,8.42,54.0,63.0,5.0,19.0205197,72.8313766,9.1,G/N Ward,Maharashtra,1,6/2/2022,6/2/2022,low,Ashok Vada Pav,amenity/fast_food,Ashok Van,2022,4/13/2022,Ashok Van
Adarsh Nagar,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.9,blue,6.63,yes,no,False,Bandra Colony,2.31,3-6km,6.0,Bandra Terminus,1.3,4.73,39.0,50.0,7.0,19.0622146,72.8289581,13.74,Bandra West,Maharashtra,1,5/13/2022,5/13/2022,high,Adarsh Nagar,place/neighbourhood,Adarsh Nagar,2022,4/13/2022,"Auris Serenity, Adarsh Nagar"
Kanch Pada,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,6,5/18/2022,7/6/2022,none,,,,2022,4/13/2022,"Auris Serenity, Kanch Pada"
Link Road,Mumbai,west,operational,D. N. Nagar,yes,SEEPZ Andheri East,2.56,blue,1.23,yes,yes,True,D. N. Nagar,1.23,0-3km,13.0,Andheri,1.76,4.59,33.0,87.0,15.0,19.117227,72.8298965,19.85,K/W Ward,Maharashtra,1,5/11/2022,5/11/2022,low,Link Road,highway/primary,Link Road,2022,4/13/2022,"Auris Serenity, Link Road"
Malad West,Mumbai,north,operational,Kurar,yes,Mindspace Malad,0.0,red,1.85,yes,yes,True,Malad (West),0.58,0-3km,3.0,Malad,0.83,10.68,24.0,94.0,13.0,19.1840129,72.8412155,27.27,P/N Ward,Maharashtra,3,5/18/2022,7/7/2022,high,Malad West,place/suburb,Malad West,2022,4/13/2022,"Auris Serenity, Malad West"
Worli,Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,1.63,blue,12.27,yes,no,False,Worli,0.38,0-3km,4.0,Prabhadevi,1.95,9.92,31.0,22.0,6.0,19.0117388,72.8178706,8.32,G/S Ward,Maharashtra,1,6/26/2022,6/26/2022,high,Worli,place/suburb,Worli,2022,4/13/2022,"Avarsekar Heights, Worli"
Azad Nagar Colaba,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,1.63,blue,21.37,yes,no,False,Cuffe Parade,0.18,0-3km,0.0,Churchgate,2.61,20.21,19.0,15.0,7.0,18.9125419,72.8220815,3.24,A Ward,Maharashtra,1,7/6/2022,7/6/2022,low,Colaba Chambers,building/yes,Azad Nagar Colaba,2022,4/13/2022,Azad Nagar Colaba
Amit Nagar,Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,4.32,blue,0.85,yes,yes,True,Versova,0.85,3-6km,7.0,Jogeshwari (Western Line),3.36,7.08,25.0,56.0,17.0,19.1367249,72.8169871,22.09,K/W Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Badrinath Tower Road,highway/tertiary,Badrinath Tower Amit Nagar,2022,4/13/2022,"Badrinath Tower, Amit Nagar"
Goregaon East,Mumbai,north,operational,Aarey,yes,Nirlon Knowledge Park,1.62,red,0.37,yes,yes,True,Aarey,0.37,0-3km,5.0,Goregaon,0.77,8.83,14.0,72.0,6.0,19.1692623,72.8552548,25.71,P/S Ward,Maharashtra,1,4/29/2022,4/29/2022,high,Goregaon East,place/suburb,Balkrishna Goregaon East,2022,4/13/2022,"Balkrishna, Goregaon East"
Lokhandwala Complex,Mumbai,west,operational,Versova,yes,Nirlon Knowledge Park,3.29,blue,1.47,yes,yes,True,Lower Oshiwara,0.79,3-6km,7.0,Jogeshwari (Harbour Line),2.62,7.13,28.0,67.0,21.0,19.1430985,72.8246055,22.75,K/W Ward,Maharashtra,1,6/27/2022,6/27/2022,high,Lokhandwala Complex,place/neighbourhood,Lokhandwala Complex,2022,4/13/2022,"Ballerina Apartment, Lokhandwala Complex"
Bandra Band Stand,Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,4.85,blue,8.65,yes,no,False,Shitala Devi Mandir,2.35,3-6km,5.0,Bandra,2.27,6.62,21.0,17.0,2.0,19.0456829,72.8209967,11.98,Bandra West,Maharashtra,1,6/30/2022,6/30/2022,low,Band Stand,building/apartments,Band Stand Bandra Band Stand,2022,4/13/2022,"Band Stand, Bandra Band Stand"
Bandra East,Mumbai,south,under_construction,Chakala - J.B. Nagar,yes,Bandra Kurla Complex,1.78,blue,5.91,yes,no,False,Bandra Kurla Complex (BKC),0.52,0-3km,7.0,Bandra Terminus,0.9,3.46,30.0,51.0,7.0,19.0616565,72.8498111,13.74,H/E Ward,Maharashtra,1,6/13/2022,6/13/2022,high,Bandra East,place/suburb,Bandra East,2022,4/13/2022,Bandra East
Bandra West,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.85,blue,6.96,yes,no,False,Bandra Colony,2.39,3-6km,6.0,Bandra,1.11,4.93,43.0,54.0,7.0,19.0583358,72.8302669,13.3,Mumbai,Maharashtra,37,5/12/2022,7/9/2022,high,Bandra West,place/suburb,Bandra West,2022,4/13/2022,Bandra West
Waterfield Road,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.28,blue,6.2,yes,no,False,Bandra Colony,1.68,3-6km,7.0,Bandra Terminus,0.71,4.15,47.0,65.0,9.0,19.0640655,72.8346916,13.93,H/W Ward,Maharashtra,1,6/16/2022,6/16/2022,low,RK Patkar Marg (Waterfield Road),highway/tertiary,Waterfield Road,2022,4/13/2022,"Benchmark Solus, Waterfield Road"
Thakur Complex,Mumbai,north,operational,Magathane,yes,Mindspace Malad,3.88,red,0.67,yes,yes,True,Magathane,0.67,3-6km,0.0,Kandivali,1.54,13.47,6.0,59.0,12.0,19.2112442,72.8643107,30.45,R/S Ward,Maharashtra,1,5/14/2022,5/14/2022,medium,Thakur Complex,landuse/residential,Thakur Complex,2022,4/13/2022,"Benzer Tower, Thakur Complex"
Best Nagar Goregaon West,Mumbai,north,under_construction,Aarey,yes,Nirlon Knowledge Park,1.24,red,2.59,yes,no,False,Oshiwara,1.09,0-3km,11.0,Ram Mandir,0.89,7.26,25.0,56.0,12.0,19.1523685,72.8418255,23.76,P/S Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,Best Nagar 1,landuse/residential,Best Nagar Goregaon West,2022,4/13/2022,Best Nagar Goregaon West
Beverly Park,Mumbai,north,under_construction,Anand Nagar,no,Mindspace Malad,11.76,yellow,3.3,yes,no,False,Kashigaon,1.69,6km+,0.0,Mira Road,1.32,21.88,13.0,47.0,4.0,19.2868429,72.8673591,38.85,Mira,Maharashtra,1,7/7/2022,7/7/2022,medium,Beverly Park,highway/bus_stop,Beverly Park,2022,4/13/2022,Beverly Park
Mira Road,Mumbai,east,none,Ghatkopar L1,yes,Millennium Business Park Mahape,2.88,blue,9.68,no,no,True,Mandale,9.59,0-3km,10.0,Ghansoli,1.39,14.11,7.0,4.0,1.0,19.1181799,72.9939112,25.99,Ghansoli,Maharashtra,1,7/1/2022,7/1/2022,medium,Bhairaav Goldcrest Residency,landuse/residential,Bhairav Residency,2022,4/13/2022,"Bhairav Residency, Mira Road"
Bhandup,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,3.75,blue,6.19,no,no,True,Aarey JVLR,5.51,3-6km,6.0,Bhandup,0.57,9.35,27.0,39.0,2.0,19.1378308,72.9361964,24.54,S Ward,Maharashtra,1,6/16/2022,6/16/2022,high,Bhandup East,place/suburb,Bhandup,2022,4/13/2022,Bhandup
Bhandup East,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,3.75,blue,6.19,no,no,True,Aarey JVLR,5.51,3-6km,6.0,Bhandup,0.57,9.35,27.0,39.0,2.0,19.1378308,72.9361964,24.54,S Ward,Maharashtra,2,5/10/2022,5/31/2022,high,Bhandup East,place/suburb,Bhandup East,2022,4/13/2022,Bhandup East
Bhandup Village,Mumbai,east,none,Jagruti Nagar,yes,Wagle Estate Thane,5.34,blue,7.82,no,no,True,Aarey JVLR,6.6,3-6km,2.0,Nahur,0.54,10.82,26.0,44.0,6.0,19.1510112,72.9432535,26.18,S Ward,Maharashtra,1,6/25/2022,6/25/2022,high,Bhandup Village West,place/neighbourhood,Bhandup Village,2022,4/13/2022,Bhandup Village
Bhandup West,Mumbai,east,none,Saki Naka,yes,Godrej One Vikhroli,4.64,blue,6.78,no,no,True,Aarey JVLR,5.5,3-6km,6.0,Bhandup,0.55,9.73,20.0,42.0,4.0,19.1462636,72.9339461,25.29,S Ward,Maharashtra,5,4/29/2022,6/20/2022,high,Bhandup West,place/suburb,Bhandup West,2022,4/13/2022,Bhandup West
Bhatti Pada,Mumbai,east,none,Anand Nagar,no,Wagle Estate Thane,8.93,yellow,9.43,no,no,True,Azad Nagar Bus Stop,5.11,6km+,2.0,Kharbhav,3.93,23.02,5.0,7.0,4.0,19.2788123,72.9532408,39.78,Bhayander Pada,Maharashtra,1,6/4/2022,6/4/2022,low,Bhatti Road,highway/residential,Bhatti Pada,2022,4/13/2022,Bhatti Pada
Bhayandar East,Mumbai,north,none,Anand Nagar,no,Mindspace Malad,13.08,yellow,4.78,no,no,True,Kashigaon,3.14,6km+,0.0,Bhayandar,1.49,23.33,10.0,67.0,4.0,19.3000043,72.8619098,40.26,Bhayander East,Maharashtra,1,5/25/2022,5/25/2022,low,Mira Bhayandar Sports Complex,leisure/sports_centre,Bhayandar East,2022,4/13/2022,Bhayandar East
Bhoiwada,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.67,blue,11.17,yes,no,False,Siddhivinayak Temple,1.99,0-3km,3.0,Ambedkar Nagar,0.43,9.62,49.0,56.0,1.0,19.0050981,72.846061,7.46,F/S Ward,Maharashtra,1,5/27/2022,5/27/2022,high,Bhoiwada,place/neighbourhood,Bhoiwada,2022,4/13/2022,Bhoiwada
Dadar East,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.63,blue,9.76,yes,no,False,Dadar,0.97,0-3km,5.0,Dadar,0.51,7.96,85.0,96.0,10.0,19.0200578,72.8475907,9.13,F/N Ward,Maharashtra,3,5/14/2022,7/9/2022,high,Dadar Hindu Colony,place/neighbourhood,Dadar East,2022,4/13/2022,"Bombay Dyeing Two ICC, Dadar East"
Dadar TT Circle,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.47,blue,9.94,yes,no,False,Dadar,1.11,0-3km,4.0,Dadar East,0.5,8.2,81.0,90.0,10.0,19.0178314,72.8478234,8.88,F/N Ward,Maharashtra,1,5/25/2022,5/25/2022,low,Khodadad Circle,leisure/garden,Dadar TT Circle,2022,4/13/2022,"Bombay Dyeing Two ICC, Dadar TT Circle"
Borivali West,Mumbai,north,operational,Borivali (West),yes,Mindspace Malad,5.27,yellow,0.0,yes,yes,True,Borivali (West),0.0,3-6km,0.0,Borivali,1.75,15.87,20.0,80.0,14.0,19.2313925,72.8408607,32.54,R/C Ward,Maharashtra,4,4/28/2022,6/28/2022,medium,Borivali (West),railway/station,Borivali West,2022,4/13/2022,Borivali West
Breach Candy,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,4.39,blue,16.77,yes,no,False,Grant Road,1.64,3-6km,1.0,Grant Road,1.44,14.53,40.0,47.0,5.0,18.9714363,72.8051492,4.83,D Ward,Maharashtra,4,6/23/2022,7/1/2022,high,Breach Candy,place/neighbourhood,Breach Candy,2022,4/13/2022,Breach Candy
buena vista,Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,1.56,blue,13.1,yes,no,False,Worli,0.59,0-3km,3.0,Lower Parel,1.83,10.74,23.0,14.0,6.0,19.0045679,72.8156193,7.6,G/S Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Buena Vista,building/apartments,buena vista,2022,4/13/2022,buena vista
Byculla West,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.11,blue,14.98,yes,no,False,Mahalaxmi,0.57,3-6km,1.0,Byculla,0.51,13.3,51.0,61.0,5.0,18.9750879,72.8282502,4.1,E Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Byculla West,place/suburb,Byculla West,2022,4/13/2022,Byculla West
Carter Road,Mumbai,west,none,Western Express Highway,yes,Bandra Kurla Complex,4.6,blue,7.0,no,no,True,Bandra Colony,2.99,3-6km,6.0,Khar Road,2.0,5.31,31.0,43.0,4.0,19.061761,72.8222815,13.74,Bandra West,Maharashtra,1,6/3/2022,6/3/2022,low,Carter Road,highway/secondary,Carter Road,2022,4/13/2022,Carter Road
Balkrishna Dadu Karade Chowk,Mumbai,south,none,Ghatkopar L1,yes,Lower Parel Business District,2.13,blue,12.16,no,no,True,Science Centre,2.79,0-3km,2.0,Mint Colony,0.49,10.88,19.0,33.0,0.0,18.9933526,72.8477938,6.2,F/S Ward,Maharashtra,1,6/20/2022,6/20/2022,medium,Celestia Spaces,landuse/residential,Celestia Spaces,2022,4/13/2022,"Celestia Spaces, Balkrishna Dadu Karade Chowk"
