listing_id,city,locality_name,address,bhk,rent,size,area_type,floor_num,total_floors,bathroom,furnishing_status,tenant_preferred,point_of_contact
LST100435,Mumbai,Nerul sector-3,Nerul sector-3,2,16000.0,600.0,Carpet Area,2.0,3.0,1.0,Unfurnished,Family,Contact Owner
LST103870,Mumbai,Kandivali East,"Godrej Tranquil, Kandivali East",1,69500.0,589.0,Carpet Area,3.0,13.0,1.0,Furnished,Bachelors,Contact Owner
LST103597,Mumbai,Mira Road,"DB Ozone, Mira Road",2,221000.0,968.0,Carpet Area,3.0,8.0,3.0,Furnished,Bachelors/Family,Contact Owner
LST104064,Mumbai,Wadala East,"Lodha Altia, Wadala East",5,481000.0,3600.0,Carpet Area,10.0,37.0,4.0,Furnished,Family,Contact Owner
LST104017,Mumbai,Andheri West,"Rustomjee Elements, Andheri West",2,38500.0,587.0,Super Area,11.0,13.0,2.0,Unfurnished,Bachelors,Contact Owner
LST101193,Mumbai,Vile Parle,Vile Parle,1,14500.0,264.0,Super Area,14.0,58.0,1.0,Furnished,Bachelors/Family,Contact Owner
LST102104,Mumbai,Parel,"Lodha Venezia, Parel",1,29500.0,449.0,Super Area,4.0,22.0,1.0,Unfurnished,Family,Contact Owner
LST103676,Mumbai,Lokhandwala Complex,"Ballerina Apartment, Lokhandwala Complex",1,23500.0,561.0,Carpet Area,10.0,19.0,1.0,Semi-Furnished,Bachelors,Contact Agent
LST101845,Mumbai,Parel,"Ashok tower, Parel",2,54500.0,667.0,Carpet Area,4.0,10.0,1.0,Furnished,Bachelors,Contact Agent
LST100229,Mumbai,Bhakti Park,"Ajmera Bhakti Park, Bhakti Park",2,57000.0,710.0,Carpet Area,15.0,18.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST100358,Mumbai,Worli,"Mahalaxmi CHS, Worli",1,25000.0,340.0,Carpet Area,13.0,23.0,1.0,Unfurnished,Bachelors/Family,Contact Agent
LST103078,Mumbai,Tata Nagar,Tata Nagar,1,68500.0,573.0,Super Area,9.0,17.0,1.0,Furnished,Bachelors/Family,Contact Agent
LST101267,Mumbai,Azad Nagar Colaba,Azad Nagar Colaba,2,17500.0,522.0,Carpet Area,5.0,16.0,1.0,Unfurnished,Family,Contact Agent
LST100552,Mumbai,Chandivali,Chandivali,3,70000.0,1000.0,Carpet Area,15.0,20.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST101201,Mumbai,in Byculla,in Byculla,2,57000.0,776.0,Super Area,-1.0,21.0,2.0,Furnished,Bachelors,Contact Owner
LST101263,Mumbai,Wadala East,"Lodha New Cuffe Parade, Wadala East",2,41500.0,730.0,Super Area,14.0,14.0,1.0,Semi-Furnished,Family,Contact Agent
LST100066,Mumbai,Lokhandwala Complex,Lokhandwala Complex,1,40000.0,600.0,Carpet Area,3.0,7.0,2.0,Furnished,Family,Contact Agent
LST101495,Mumbai,Ghatla,Ghatla,1,25000.0,445.0,Carpet Area,24.0,55.0,1.0,Furnished,Family,Contact Agent
LST100059,Mumbai,Powai,Powai,3,89000.0,1219.5,Carpet Area,14.0,20.0,3.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST103230,Mumbai,Malabar Hill,Malabar Hill,2,65000.0,774.0,Carpet Area,2.0,3.0,1.0,Semi-Furnished,Family,Contact Owner
LST102483,Mumbai,Mulund West,Mulund West,2,34500.0,750.0,Carpet Area,40.0,75.0,3.0,Furnished,Family,Contact Owner
LST103933,Mumbai,Amar Nagar,Amar Nagar,1,43500.0,450.0,Carpet Area,9.0,40.0,2.0,Unfurnished,Bachelors,Contact Owner
LST100706,Mumbai,Bandra West,Bandra West,2,130000.0,1000.0,Carpet Area,10.0,13.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST100411,Mumbai,Kamla Nagar,Kamla Nagar,2,65000.0,700.0,Carpet Area,4.0,9.0,2.0,Furnished,Bachelors,Contact Agent
LST104579,Mumbai,Chakala MIDC,"Lodha Eternis, Chakala MIDC",1,60000.0,593.0,Carpet Area,0.0,6.0,1.0,Unfurnished,Family,Contact Agent
LST104646,Mumbai,Borivali East,Borivali East,2,61500.0,1309.0,Super Area,5.0,12.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST104638,Mumbai,Taloja Phase 2,Taloja Phase 2,1,20500.0,338.0,Super Area,11.0,25.0,1.0,Unfurnished,Family,Contact Agent
LST102378,Mumbai,Bandra Kurla Complex,"Dheeraj Insignia Apartment, Bandra Kurla Complex",3,79000.0,1219.5,Super Area,7.0,9.0,3.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST103562,Mumbai,in Mahim West,in Mahim West,1,47500.0,450.0,Super Area,3.0,58.0,1.0,Semi-Furnished,Family,Contact Owner
LST104387,Mumbai,Malad East,Malad East,1,38000.0,687.0,Carpet Area,19.0,24.0,1.0,Unfurnished,Bachelors/Family,Contact Agent
LST100274,Mumbai,Bandra Kurla Complex,"Dheeraj Insignia Apartment, Bandra Kurla Complex",4,200000.0,1900.0,Carpet Area,5.0,11.0,3.0,Furnished,Bachelors/Family,Contact Agent
LST101896,Mumbai,Unknown,Navi Mumbai-Khargar-Panvel,2,45500.0,655.0,Super Area,11.0,13.0,2.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST104886,Mumbai,Deonar,Deonar,3,376000.0,1797.0,Carpet Area,12.0,45.0,2.0,Furnished,Family,Contact Agent
LST104233,Mumbai,parivar safalya chs,parivar safalya chs,1,48500.0,343.0,Carpet Area,15.0,60.0,2.0,Furnished,Bachelors,Contact Agent
LST104380,Mumbai,Charkop Sector 6,Charkop Sector 6,1,48500.0,442.0,Carpet Area,-1.0,23.0,1.0,Semi-Furnished,Family,Contact Owner
LST104301,Mumbai,Mahavir Nagar,"Leo Ratnakar, Mahavir Nagar",1,17500.0,455.0,Carpet Area,12.0,16.0,1.0,Furnished,Bachelors/Family,Contact Owner
LST101851,Mumbai,Kashimira,"Man Opus, Kashimira",2,42000.0,698.0,Carpet Area,18.0,29.0,1.0,Furnished,Bachelors/Family,Contact Owner
LST102728,Mumbai,Dadar TT Circle,"Island City Centre, Dadar TT Circle",1,15500.0,434.0,Super Area,10.0,31.0,1.0,Semi-Furnished,Family,Contact Agent
LST104419,Mumbai,Kandivali West,"Gemstar Symphony Apartment, Kandivali West",2,32500.0,639.0,Carpet Area,15.0,60.0,1.0,Semi-Furnished,Family,Contact Owner
LST104898,Mumbai,Antop Hill,Antop Hill,1,27500.0,493.0,Super Area,5.0,11.0,1.0,Semi-Furnished,Bachelors,Contact Owner
LST100014,Mumbai,Bhandup West,Bhandup West,2,28000.0,518.0,Carpet Area,5.0,12.0,2.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST102324,Mumbai,new panvel,new panvel,2,48000.0,893.0,Carpet Area,27.0,47.0,2.0,Semi-Furnished,Family,Contact Owner
LST100754,Mumbai,Bhakti Park,"Ajmera Bhakti Park, Bhakti Park",1,40000.0,450.0,Carpet Area,8.0,13.0,1.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST101875,Mumbai,Parel,Parel,4,220000.0,1989.0,Carpet Area,7.0,13.0,5.0,Semi-Furnished,Family,Contact Owner
LST100557,Mumbai,Charkop,Charkop,1,16000.0,250.0,Carpet Area,4.0,10.0,1.0,Unfurnished,Bachelors/Family,Contact Owner
LST101988,Mumbai,Hiranandani Gardens,"Hiranandani Regent Hill, Hiranandani Gardens",2,89500.0,601.0,Carpet Area,-1.0,8.0,2.0,Furnished,Family,Contact Agent
LST104298,Mumbai,Andheri West,"Adani Western Heights, Andheri West",3,92500.0,891.0,Super Area,25.0,43.0,3.0,Semi-Furnished,Bachelors,Contact Owner
LST101733,Mumbai,Grant Road,Grant Road,1,20000.0,534.0,Carpet Area,27.0,58.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST100450,Mumbai,Worli,"Mahalaxmi CHS, Worli",1,25000.0,325.0,Carpet Area,17.0,24.0,1.0,Furnished,Bachelors/Family,Contact Agent
LST102265,Mumbai,Wadala,"Lodha NCP Commercial , Wadala",1,34000.0,524.0,Carpet Area,3.0,8.0,1.0,Semi-Furnished,Bachelors,Contact Owner
LST100646,Mumbai,Bandra Kurla Complex,"Insignia, Bandra Kurla Complex",3,140000.0,1400.0,Carpet Area,11.0,13.0,3.0,Semi-Furnished,Family,Contact Agent
LST104016,Mumbai,Chembur East,"diamond garden, Chembur East",3,61000.0,1597.0,Super Area,-1.0,16.0,3.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST104710,Mumbai,Mulund East,"Sai Aasha Daya, Mulund East",2,36500.0,560.0,Super Area,17.0,36.0,2.0,Semi-Furnished,Family,Contact Owner
LST103079,Mumbai,Charkop,Charkop,3,173500.0,1532.0,Carpet Area,60.0,71.0,3.0,Semi-Furnished,Family,Contact Agent
LST104499,Mumbai,Marol,"Kanakia Rainforest, Marol",2,28500.0,762.0,Super Area,10.0,21.0,3.0,Furnished,Bachelors/Family,Contact Agent
LST101492,Mumbai,Kandivali East,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",3,62500.0,857.0,Super Area,65.0,78.0,3.0,Unfurnished,Bachelors,Contact Agent
LST100022,Mumbai,Unknown,,1,22000.0,270.0,Super Area,14.0,23.0,1.0,Unfurnished,Bachelors/Family,Contact Owner
LST101579,Mumbai,Prabhadevi,"MHADA Century Mill, Prabhadevi",2,42000.0,677.0,Carpet Area,7.0,14.0,3.0,Furnished,Family,Contact Agent
LST101097,Mumbai,Andheri West,"Adani Western Heights, Andheri West",2,75000.0,944.0,Carpet Area,13.0,43.0,2.0,Unfurnished,Bachelors,Contact Owner
LST101031,Mumbai,Wadala,Wadala,2,98500.0,688.0,Super Area,1.0,6.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST100260,Mumbai,Govandi Station Road,Govandi Station Road,1,27000.0,400.0,Carpet Area,1.0,7.0,1.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST104608,Mumbai,Worli,"Omkar 1973, Worli",2,63500.0,793.0,Super Area,34.0,42.0,2.0,Furnished,Family,Contact Agent
LST104704,Mumbai,Worli,"Raheja Artesia, Worli",2,70500.0,530.0,Super Area,17.0,44.0,2.0,Unfurnished,Family,Contact Agent
LST101641,Mumbai,Malad West,"Lovedale Residences, Malad West",1,18500.0,339.0,Carpet Area,2.0,4.0,2.0,Semi-Furnished,Family,Contact Owner
LST104425,Mumbai,Andheri East,"Bindra Complex , Andheri East",1,31500.0,493.0,Carpet Area,3.0,15.0,1.0,Furnished,Bachelors/Family,Contact Agent
LST100222,Mumbai,Jogeshwari West,"Lodha Bel Air, Jogeshwari West",3,100000.0,1286.0,Carpet Area,7.0,21.0,5.0,Unfurnished,Bachelors/Family,Contact Agent
LST101558,Mumbai,Vikhroli West,"Raj Legacy, Vikhroli West",6,461500.0,2819.0,Carpet Area,11.0,31.0,7.0,Unfurnished,Family,Contact Agent
LST100129,Mumbai,Mahavir Nagar,Mahavir Nagar,3,43000.0,750.0,Carpet Area,6.0,16.0,2.0,Unfurnished,Family,Contact Agent
LST102316,Mumbai,Marine Lines,"Marine Palace, Marine Lines",1,21000.0,450.0,Super Area,10.0,20.0,2.0,Unfurnished,Bachelors,Contact Agent
LST101102,Mumbai,Lokhandwala Twp,"Spring Leaf, Lokhandwala Twp",4,432000.0,3468.0,Carpet Area,16.0,23.0,4.0,Unfurnished,Bachelors/Family,Contact Agent
LST104408,Mumbai,Seven Bungalows,"Milap CHS, Seven Bungalows",1,16500.0,232.0,Super Area,3.0,9.0,1.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST104985,Mumbai,Dadar East,"Island City Centre, Dadar East",2,43500.0,788.0,Carpet Area,12.0,16.0,1.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST102424,Mumbai,JB Nagar,JB Nagar,1,31000.0,507.0,Carpet Area,9.0,17.0,1.0,Unfurnished,Bachelors/Family,Contact Agent
LST103493,Mumbai,Kandivali East,"Aspire, Thakur Village, Kandivali East",2,44500.0,837.0,Super Area,3.0,10.0,3.0,Unfurnished,Bachelors,Contact Owner
LST100578,Mumbai,Hiranandani Gardens,"Hiranandani Atlantis, Hiranandani Gardens",2,85000.0,750.0,Carpet Area,11.0,27.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST102225,Mumbai,Gokuldham,"Valentine Apartments, Gokuldham",3,159000.0,1511.0,Super Area,6.0,10.0,2.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST103169,Mumbai,Goregaon East,"Dheeraj Valley Tower, Goregaon East",3,224000.0,1215.0,Super Area,17.0,25.0,3.0,Semi-Furnished,Bachelors,Contact Owner
LST101647,Mumbai,Thane-Kalyan-Dombivli,Thane-Kalyan-Dombivli,1,18500.0,284.0,Super Area,10.0,19.0,1.0,Furnished,Family,Contact Agent
LST100055,Mumbai,Worli,"Trump Tower, Worli",4,300000.0,1600.0,Carpet Area,12.0,21.0,4.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST102843,Mumbai,Bhakti Park,"Lodha New Cuffe Parade, Bhakti Park",2,54500.0,767.0,Super Area,19.0,22.0,3.0,Unfurnished,Bachelors,Contact Agent
LST103753,Mumbai,Chakala,Chakala,1,24000.0,497.0,Carpet Area,21.0,21.0,2.0,Furnished,Bachelors/Family,Contact Agent
LST104674,Mumbai,Breach Candy,Breach Candy,2,104000.0,1429.0,Super Area,12.0,27.0,3.0,Semi-Furnished,Bachelors,Contact Owner
LST101595,Mumbai,Kanjurmarg East,Kanjurmarg East,3,90500.0,1219.5,Carpet Area,15.0,19.0,3.0,Furnished,Bachelors/Family,Contact Owner
LST100261,Mumbai,Irla,Irla,2,60000.0,700.0,Carpet Area,3.0,4.0,2.0,Furnished,Bachelors,Contact Agent
LST103087,Mumbai,Bandra West,"Smoky Hill Apartment, Bandra West",3,52000.0,1036.0,Super Area,5.0,12.0,3.0,Unfurnished,Bachelors,Contact Agent
LST103592,Mumbai,Kandivali East,Kandivali East,1,40000.0,556.0,Super Area,21.0,21.0,1.0,Unfurnished,Family,Contact Agent
LST100436,Mumbai,Lokhandwala Complex,"Magnum Tower CHS, Lokhandwala Complex",2,50000.0,1100.0,Super Area,14.0,22.0,4.0,Furnished,Bachelors/Family,Contact Agent
LST104407,Mumbai,Goregaon East,Goregaon East,2,30500.0,1237.0,Carpet Area,9.0,10.0,1.0,Furnished,Bachelors/Family,Contact Owner
LST102849,Mumbai,Seven Bungalows,"Shimpla Vighnaharta CHS, Seven Bungalows",3,88000.0,1262.0,Super Area,10.0,27.0,2.0,Semi-Furnished,Family,Contact Agent
LST104705,Mumbai,Andheri East,Andheri East,2,50000.0,715.0,Carpet Area,53.0,60.0,1.0,Semi-Furnished,Bachelors,Contact Agent
LST100088,Mumbai,Breach Candy,Breach Candy,2,85000.0,650.0,Carpet Area,2.0,6.0,2.0,Semi-Furnished,Bachelors,Contact Agent
LST103297,Mumbai,Nalasopara West,Nalasopara West,3,176500.0,1578.0,Carpet Area,5.0,6.0,3.0,Unfurnished,Family,Contact Agent
LST101588,Mumbai,Hiranandani Gardens,"Hiranandani Castle Rock, Hiranandani Gardens",2,55500.0,592.0,Carpet Area,16.0,34.0,1.0,Unfurnished,Bachelors,Contact Agent
LST102177,Mumbai,Unknown,,3,58500.0,971.0,Carpet Area,20.0,23.0,3.0,Unfurnished,Bachelors,Contact Agent
LST101921,Mumbai,Mira Road,"holy complex ,Mira Road, Mumbai",2,106500.0,872.0,Super Area,9.0,19.0,1.0,Semi-Furnished,Family,Contact Agent
LST104243,Mumbai,Bandra West,"Siddhivinayak, Bandra West",2,143500.0,894.0,Carpet Area,16.0,36.0,2.0,Unfurnished,Bachelors/Family,Contact Agent
LST103837,Mumbai,Dadar East,"Bombay Dyeing Two ICC, Dadar East",3,119000.0,1086.0,Carpet Area,7.0,7.0,3.0,Furnished,Bachelors,Contact Agent
LST103463,Mumbai,Gokuldham,"Valentine Apartments, Gokuldham",4,321000.0,1371.0,Super Area,5.0,23.0,3.0,Unfurnished,Bachelors/Family,Contact Owner
LST102243,Mumbai,Film City Road,"Oberoi Exquisite II, Film City Road",4,214500.0,1678.0,Carpet Area,15.0,60.0,4.0,Semi-Furnished,Family,Contact Owner
LST102621,Mumbai,GREEN PARK,GREEN PARK,2,18000.0,606.0,Super Area,14.0,17.0,1.0,Furnished,Family,Contact Agent
LST102450,Mumbai,Mahim West,Mahim West,3,156500.0,1479.0,Carpet Area,8.0,28.0,3.0,Unfurnished,Bachelors,Contact Owner
LST103890,Mumbai,Goregaon East,"Velentine Tower, Goregaon East",3,88000.0,1047.0,Super Area,18.0,30.0,4.0,Unfurnished,Bachelors,Contact Owner
LST102633,Mumbai,Nalasopara West,Nalasopara West,2,65500.0,654.0,Super Area,4.0,15.0,2.0,Furnished,Bachelors,Contact Owner
LST100886,Mumbai,Chandivali,Chandivali,2,45000.0,650.0,Carpet Area,10.0,18.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST102730,Mumbai,Ghatkopar East,Ghatkopar East,3,81500.0,884.0,Carpet Area,2.0,27.0,3.0,Unfurnished,Bachelors/Family,Contact Agent
LST104868,Mumbai,Mira Road East,"SK Imperial Heights, Mira Road East",2,110000.0,1350.0,Super Area,3.0,16.0,2.0,Unfurnished,Bachelors/Family,Contact Agent
LST103632,Mumbai,Marol,"Akruti Aneri, Marol",2,44500.0,1182.0,Carpet Area,16.0,21.0,3.0,Unfurnished,Family,Contact Owner
LST103679,Mumbai,Kurla West,Kurla West,1,15500.0,441.0,Carpet Area,10.0,18.0,2.0,Unfurnished,Bachelors/Family,Contact Agent
LST103395,Mumbai,Bhayandar East,"Indraprastha CHS, Bhayandar East",1,28500.0,319.0,Super Area,53.0,78.0,1.0,Furnished,Bachelors,Contact Owner
LST101121,Mumbai,Matunga East,Matunga East,4,289500.0,1970.0,Super Area,5.0,24.0,3.0,Furnished,Bachelors,Contact Agent
LST103025,Mumbai,Yashodham,Yashodham,1,27500.0,500.0,Carpet Area,6.0,24.0,2.0,Unfurnished,Family,Contact Owner
LST103050,Mumbai,KEMPS CORNER,"THE PRIMORDIAL HOUSE, KEMPS CORNER",1,19000.0,516.0,Super Area,12.0,13.0,1.0,Semi-Furnished,Family,Contact Owner
LST100914,Mumbai,Dadar East,"Bombay Dyeing Two ICC, Dadar East",4,250000.0,2100.0,Carpet Area,35.0,60.0,4.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST104934,Mumbai,Lower Parel,"India Bulls Sky Forest, Lower Parel",2,107000.0,965.0,Super Area,26.0,42.0,3.0,Unfurnished,Bachelors/Family,Contact Agent
LST104025,Mumbai,Central Area,Central Area,1,39000.0,595.0,Carpet Area,15.0,59.0,1.0,Semi-Furnished,Family,Contact Agent
LST101040,Mumbai,Juhu Tara,Juhu Tara,2,53000.0,673.0,Super Area,16.0,37.0,1.0,Unfurnished,Bachelors/Family,Contact Owner
LST100691,Mumbai,Kalina,"Sundar Nagar, Kalina",1,20000.0,300.0,Carpet Area,2.0,12.0,1.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST101634,Mumbai,Bhandup West,"Samarth Srishti, Bhandup West",2,46500.0,573.0,Carpet Area,15.0,25.0,1.0,Furnished,Family,Contact Owner
LST103361,Mumbai,Holly Cross Church Chowk,"Kohinoor City Phase II, Holly Cross Church Chowk",3,192000.0,1107.0,Super Area,6.0,24.0,3.0,Furnished,Bachelors,Contact Agent
LST100594,Mumbai,Ghatkopar West,Ghatkopar West,1,24000.0,550.0,Carpet Area,0.0,4.0,1.0,Unfurnished,Bachelors,Contact Agent
LST101716,Mumbai,Unknown,,2,33500.0,758.0,Super Area,10.0,13.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST102601,Mumbai,Lower Parel,"Neumec Elegance, Lower Parel",1,39500.0,641.0,Super Area,48.0,54.0,1.0,Unfurnished,Family,Contact Owner
LST104799,Mumbai,Mindspace,"Evershine Grandeur, Mindspace",2,93000.0,740.0,Super Area,2.0,5.0,2.0,Unfurnished,Bachelors,Contact Agent
LST101749,Mumbai,DATTA PADA,DATTA PADA,1,26500.0,553.0,Carpet Area,8.0,12.0,1.0,Unfurnished,Bachelors/Family,Contact Agent
LST101245,Mumbai,Pirojshah Nagar,"Godrej The Trees, Pirojshah Nagar",3,195000.0,2011.0,Super Area,12.0,68.0,3.0,Furnished,Family,Contact Agent
LST104214,Mumbai,Vile Parle West,"Sai Palace Apartment, Vile Parle West",1,22000.0,445.0,Carpet Area,5.0,21.0,1.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST101085,Mumbai,Andheri East,"Hillcrest, Andheri East",1,28000.0,347.0,Carpet Area,24.0,24.0,1.0,Furnished,Bachelors,Contact Agent
LST104785,Mumbai,Bhakti Park,Bhakti Park,1,37500.0,439.0,Super Area,1.0,9.0,1.0,Unfurnished,Family,Contact Owner
LST102478,Mumbai,Mahim,Mahim,3,57000.0,905.0,Super Area,5.0,13.0,4.0,Furnished,Bachelors,Contact Agent
LST102168,Mumbai,Chandivali,"Sunglow, Chandivali",1,116500.0,631.0,Super Area,14.0,15.0,1.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST104718,Mumbai,Irani Wada,"Sethia Kalpavruksh Heights, Irani Wada",5,442500.0,3856.0,Super Area,-2.0,18.0,4.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST102393,Mumbai,Powai,"Lake Florence, Powai",3,72500.0,863.0,Carpet Area,10.0,32.0,3.0,Unfurnished,Family,Contact Owner
LST102305,Mumbai,Indralok,"Aims Sea View, Indralok",1,64000.0,518.0,Super Area,18.0,20.0,1.0,Semi-Furnished,Bachelors,Contact Agent
LST102962,Mumbai,Parel,"Saraswati Sadan, Parel",2,80500.0,803.0,Super Area,3.0,6.0,2.0,Semi-Furnished,Bachelors,Contact Owner
LST102303,Mumbai,Peddar Road,Peddar Road,3,64000.0,731.0,Built Up Area,10.0,37.0,3.0,Furnished,Family,Contact Owner
LST102576,Mumbai,Vile Parle West,Vile Parle West,2,59000.0,694.0,Carpet Area,8.0,13.0,1.0,Furnished,Family,Contact Owner
LST102705,Mumbai,Lokhandwala Twp,"Anita, Lokhandwala Twp",3,167500.0,1345.0,Super Area,43.0,78.0,2.0,Unfurnished,Bachelors,Contact Owner
LST102996,Mumbai,Lokhandwala Complex,"DLH Orchid, Lokhandwala Complex",2,87000.0,915.0,Carpet Area,10.0,37.0,1.0,Furnished,Bachelors,Contact Agent
LST101462,Mumbai,Unknown,,3,31500.0,923.0,Super Area,50.0,75.0,3.0,Unfurnished,Bachelors,Contact Owner
LST101316,Mumbai,Andheri East,"Greenfields CHS, Andheri East",1,45000.0,411.0,Carpet Area,5.0,23.0,1.0,Furnished,Family,Contact Owner
LST102051,Mumbai,Mulund West,Mulund West,4,183500.0,1977.0,Carpet Area,5.0,24.0,5.0,Semi-Furnished,Family,Contact Owner
LST103037,Mumbai,Worli,"lokhandwala residency, Worli",2,145000.0,828.0,Super Area,19.0,19.0,2.0,Semi-Furnished,Family,Contact Owner
LST103833,Mumbai,Andheri East,Andheri East,3,147000.0,1219.5,Carpet Area,0.0,7.0,2.0,Semi-Furnished,Bachelors/Family,Contact Agent
LST102255,Mumbai,Powai,Powai,3,97500.0,1009.0,Super Area,7.0,25.0,3.0,Furnished,Bachelors/Family,Contact Owner
LST104714,Mumbai,Nandiadwala Colony,"Midas Enclave CHS , Nandiadwala Colony",3,46000.0,902.0,Carpet Area,17.0,32.0,3.0,Furnished,Bachelors,Contact Owner
LST101079,Mumbai,Chakala Cigarette Factory,Chakala Cigarette Factory,1,5500.0,407.0,Carpet Area,5.0,5.0,1.0,Furnished,Bachelors,Contact Owner
LST102659,Mumbai,Bandra Kurla Complex,"Insignia, Bandra Kurla Complex",1,24500.0,539.0,Carpet Area,25.0,44.0,1.0,Semi-Furnished,Bachelors/Family,Contact Owner
LST104029,Mumbai,Mira Road East,Mira Road East,1,69500.0,549.0,Carpet Area,30.0,59.0,2.0,Unfurnished,Family,Contact Agent
LST102215,Mumbai,Andheri East,"Kanakia Rainforest, Andheri East",2,65000.0,648.0,Super Area,-1.0,22.0,2.0,Furnished,Family,Contact Owner
LST101117,Mumbai,Goregaon East,"Raheja Ridgewood, Goregaon East",2,26500.0,771.0,Super Area,11.0,12.0,2.0,Unfurnished,Family,Contact Owner
