listing_id,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
L00032,2022-06-26,2,15000,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00033,2022-06-16,2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00034,2022-06-29,2,5000,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00035,2022-05-10,3,22000,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00036,2022-05-12,2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00037,2022-06-03,2,12500,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent
L00038,2022-05-31,2,7000,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00039,2022-06-10,2,21000,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
L00040,2022-06-24,1,10000,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00041,2022-06-29,2,7200,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00042,2022-05-12,3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner
L00043,2022-06-26,1,5000,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00044,2022-04-30,2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00045,2022-05-27,1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00046,2022-06-06,2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner
L00047,2022-05-20,2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
L00048,2022-07-02,2,12000,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner
L00049,2022-05-26,3,30000,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00050,2022-05-12,3,15000,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00051,2022-06-22,1,7500,150,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00052,2022-06-25,1,7500,450,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00053,2022-07-03,2,5000,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00054,2022-04-23,2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00055,2022-05-14,2,11000,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
L00056,2022-05-27,1,7000,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00057,2022-06-19,2,6000,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00058,2022-06-19,2,6000,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner
L00059,2022-07-02,2,7000,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00060,2022-07-06,2,8500,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00061,2022-07-02,1,5000,300,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00062,2022-06-21,3,30000,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
L00063,2022-06-04,2,10000,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00064,2022-06-24,3,30000,2000,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00065,2022-05-14,1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00066,2022-06-26,2,8000,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00067,2022-07-02,1,5000,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00068,2022-05-05,2,7500,600,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00069,2022-05-18,2,6500,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00070,2022-06-07,1,7500,680,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00071,2022-06-07,1,7500,680,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00072,2022-06-26,2,16000,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
L00073,2022-06-26,2,16000,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
L00074,2022-05-30,2,6500,700,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00075,2022-05-22,3,40000,1500,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00076,2022-06-18,2,12500,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00077,2022-06-08,2,5500,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00078,2022-06-25,1,5000,450,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00079,2022-05-03,2,6500,700,Ground out of 2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00080,2022-05-12,1,8000,500,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00081,2022-06-01,3,14500,1800,Ground out of 2,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00082,2022-05-23,1,8200,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00083,2022-05-23,2,15000,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00084,2022-06-21,6,20000,1000,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00085,2022-06-22,2,6700,800,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00086,2022-05-27,1,10000,435,2 out of 3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00087,2022-05-07,2,7000,700,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00088,2022-06-25,2,22000,800,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent
L00089,2022-06-27,2,6500,450,1 out of 3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00090,2022-05-31,2,8500,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent
L00091,2022-06-03,2,18000,800,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent
L00092,2022-06-27,2,12000,550,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner
L00093,2022-05-15,1,9000,600,2 out of 4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00094,2022-06-09,1,6000,500,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00095,2022-04-28,2,20000,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00096,2022-05-23,1,5000,300,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00097,2022-06-28,2,12000,1200,1 out of 3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
L00098,2022-06-23,2,10000,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00099,2022-04-29,4,18000,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner
L00100,2022-06-13,2,15000,900,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00101,2022-06-13,3,22000,1300,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
L00102,2022-06-13,4,35000,1600,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent
L00103,2022-05-14,3,21000,1450,Ground out of 1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner
L00104,2022-07-06,2,25000,1100,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent
L00105,2022-06-16,2,180000,950,Ground out of 1,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00106,2022-06-06,1,6000,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00107,2022-07-04,2,14000,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00108,2022-05-15,3,8000,750,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner
L00109,2022-05-04,2,8000,1000,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00110,2022-04-25,1,6000,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00111,2022-05-21,1,8000,300,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent
L00112,2022-06-27,1,6000,300,Ground out of 1,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00113,2022-07-02,1,20000,700,1 out of 2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00114,2022-07-06,3,12000,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00115,2022-04-28,3,15000,1600,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00116,2022-05-15,2,14000,1000,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00117,2022-05-30,1,5000,20,2 out of 3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00118,2022-06-10,2,7000,400,Ground out of 2,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00119,2022-06-23,1,3900,200,2 out of 2,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00120,2022-06-09,3,14000,840,1 out of 4,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00121,2022-06-19,1,6300,300,1 out of 1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00122,2022-07-03,2,13000,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
L00123,2022-07-03,1,6800,300,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00124,2022-05-14,2,8000,800,1 out of 1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00125,2022-05-10,2,10000,740,Ground out of 6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00126,2022-04-25,2,18000,1300,1 out of 1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00127,2022-06-13,2,8000,650,Ground out of 1,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00128,2022-05-06,2,8000,490,1 out of 1,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00129,2022-06-08,1,4700,250,2 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00130,2022-06-08,1,4700,250,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00131,2022-05-06,1,4500,450,1 out of 2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00132,2022-06-30,1,6000,300,Ground out of 1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00133,2022-06-24,2,16000,750,1 out of 3,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00134,2022-07-01,1,4700,250,1 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00135,2022-06-17,2,14000,751,3 out of 3,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00136,2022-06-26,2,9000,900,Ground out of 2,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner
L00137,2022-06-23,2,5000,400,1 out of 3,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00138,2022-06-13,2,17500,1000,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
L00139,2022-06-11,2,8500,1000,Ground out of 1,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00140,2022-05-26,3,15000,1500,1 out of 1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner
L00141,2022-04-25,2,12500,750,1 out of 3,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00142,2022-05-11,1,13000,1200,2 out of 4,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00143,2022-05-06,2,8000,700,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00144,2022-05-10,2,8000,700,4 out of 4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00145,2022-05-21,2,8000,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00146,2022-06-12,2,7000,1200,1 out of 3,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00147,2022-06-05,2,2200,550,2 out of 3,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00148,2022-06-25,2,8000,800,Ground out of 4,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00149,2022-06-11,2,5500,280,1 out of 3,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00150,2022-07-04,3,20000,1100,Ground out of 2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
L00151,2022-05-10,2,7000,950,Ground out of 2,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00152,2022-05-13,1,3500,250,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00153,2022-05-10,2,5000,1000,Ground out of 2,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00154,2022-06-30,3,20000,1000,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00155,2022-05-27,2,7000,650,Ground out of 2,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00156,2022-06-08,2,10000,700,1 out of 2,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00157,2022-05-15,2,7000,700,Ground out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00158,2022-06-29,3,12000,1000,Ground out of 3,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00159,2022-05-13,2,14500,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00160,2022-05-25,1,6000,700,1 out of 2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00161,2022-07-04,2,9500,700,1 out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00162,2022-06-27,2,10000,450,2 out of 1,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00163,2022-05-06,1,3500,120,Ground out of 3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00164,2022-06-01,2,9000,800,1 out of 2,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00165,2022-06-07,3,40000,1220,2 out of 3,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00166,2022-06-23,3,16500,1100,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00167,2022-06-12,3,8000,700,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner
L00168,2022-05-10,2,12000,800,Ground out of 3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00169,2022-06-27,2,6500,670,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner
L00170,2022-04-30,4,40000,1300,1 out of 2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner
L00171,2022-05-06,1,5000,190,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00172,2022-05-24,2,9000,700,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
L00173,2022-06-17,1,7000,240,Ground out of 4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00174,2022-05-19,2,18000,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner
L00175,2022-05-26,1,9000,950,1 out of 2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00176,2022-06-11,1,5500,450,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00177,2022-06-08,2,7500,800,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner
L00178,2022-07-02,2,4000,600,1 out of 2,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00179,2022-05-30,3,10500,800,2 out of 2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00180,2022-07-03,3,15000,1100,Ground out of 2,Carpet Area,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
L00181,2022-06-16,2,15000,800,Ground out of 2,Carpet Area,Baguiati,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00182,2022-05-13,1,50000,2200,2 out of 5,Super Area,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3,Contact Owner
L00183,2022-06-08,2,12000,950,1 out of 1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00184,2022-04-25,2,11000,550,2 out of 3,Carpet Area,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00185,2022-06-04,2,12000,1800,1 out of 1,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,2,Contact Owner
L00186,2022-05-11,2,8000,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00187,2022-05-27,2,18000,600,Ground out of 3,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00188,2022-04-24,2,8000,750,2 out of 4,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
L00189,2022-05-10,2,7000,685,2 out of 3,Super Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
L00190,2022-05-24,1,6500,44,Ground out of 1,Carpet Area,Baranagar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
L00191,2022-06-10,4,13000,1200,Ground out of 2,Carpet Area,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
L00192,2022-05-05,2,9000,500,Ground out of 2,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1,Contact Owner
